"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13"
2,1,1,4,4,2,4,4,5,2,1,25,1
2,4,2,4,1,2,3,1,3,1,2,23,1
1,2,4,4,1,1,1,1,4,1,2,24,1
2,3,2,3,2,1,3,1,3,1,2,26,1
4,5,3,4,2,3,4,1,5,3,1,23,1
5,4,3,3,2,3,5,2,3,3,2,23,2
2,2,2,2,1,4,4,1,3,2,2,21,1
3,5,1,2,2,2,4,1,3,2,2,22,1
1,1,2,5,1,3,3,1,2,1,1,23,1
1,4,4,2,2,3,1,1,4,1,2,23,1
2,4,1,5,2,4,4,1,4,1,1,22,1
3,5,2,5,2,2,4,5,2,4,1,29,1
2,5,5,4,2,1,2,4,4,1,2,22,1
5,5,3,1,2,2,5,1,3,1,2,24,1
1,4,2,5,1,2,1,1,4,2,2,24,1
1,3,1,4,1,2,3,1,4,3,1,24,1
2,2,2,5,4,3,3,4,2,2,1,23,1
3,4,2,2,2,1,2,2,4,3,2,19,1
3,2,1,3,1,3,3,4,4,3,2,26,1
2,5,3,3,3,4,3,2,4,1,1,23,1
2,3,2,5,1,1,2,3,3,1,2,23,1
4,3,3,4,3,3,4,4,3,1,2,22,2
1,2,2,3,2,2,2,2,3,1,1,43,1
5,5,3,4,2,2,4,3,3,2,2,25,2
5,5,2,4,3,2,4,2,3,2,2,25,1
1,1,2,1,2,2,2,1,4,3,1,25,1
2,2,4,1,1,1,1,1,5,1,1,23,1
4,4,3,2,5,3,4,2,3,2,2,25,1
1,3,1,2,4,2,4,3,4,2,1,21,1
1,5,2,5,2,1,2,3,3,1,1,25,1
2,2,3,5,3,2,4,2,3,2,1,24,1
4,5,3,2,2,3,4,3,3,3,2,23,1
2,3,2,4,1,3,2,2,2,2,2,22,1
5,5,5,3,4,5,3,3,3,3,2,19,2
2,5,3,5,3,2,1,2,2,2,1,23,1
2,5,2,4,4,2,4,1,2,2,1,24,1
4,5,3,5,3,4,2,1,5,2,2,24,1
5,4,3,4,2,5,4,5,3,1,1,22,2
2,5,2,4,1,3,3,1,2,1,1,21,1
2,2,3,4,4,2,2,1,4,2,2,23,1
2,4,2,4,1,2,4,1,2,1,2,28,1
2,5,2,5,2,3,4,5,4,1,1,24,1
4,4,3,2,2,5,4,2,3,2,2,22,2
2,5,5,5,1,3,4,4,4,1,1,26,1
2,4,2,3,1,2,2,5,4,2,1,24,1
5,5,3,2,3,5,4,5,3,2,2,22,2
1,5,3,2,1,2,2,1,5,2,1,26,1
1,5,2,4,3,2,2,1,4,1,1,25,1
5,4,2,4,2,3,4,1,4,2,2,25,1
1,4,2,5,1,3,4,2,5,1,2,22,1
1,2,3,2,2,1,4,1,2,1,1,33,1
1,5,1,5,1,3,1,2,5,1,2,25,1
5,3,3,4,4,3,5,5,3,2,2,26,2
4,2,2,4,4,3,4,2,4,2,2,28,1
3,5,3,3,2,3,2,2,2,2,1,32,1
5,5,5,5,5,5,5,3,5,3,2,22,2
4,5,4,4,4,3,4,1,5,3,1,40,1
1,5,2,2,2,2,3,3,3,2,1,26,1
3,5,4,3,4,3,3,1,2,2,2,42,1
2,3,2,4,1,4,2,2,2,3,2,23,1
1,5,2,4,2,2,3,3,4,2,1,26,1
3,4,1,4,2,2,2,4,5,2,2,25,1
2,5,2,2,2,1,2,2,5,1,1,37,1
2,5,4,1,2,3,2,4,5,2,1,30,1
5,5,5,4,2,5,2,4,3,2,2,26,2
1,5,5,2,4,2,5,3,5,2,1,23,1
1,3,1,5,1,1,1,1,1,1,1,24,1
2,3,3,2,2,3,2,5,5,4,2,26,1
2,3,3,4,3,4,4,4,3,2,2,21,1
5,3,3,5,2,2,4,1,4,2,2,23,1
5,3,3,3,3,3,3,2,3,3,1,42,2
4,5,2,3,2,2,3,3,5,2,1,22,1
5,5,3,3,3,3,3,3,3,3,1,33,2
3,5,1,4,2,2,1,5,5,1,1,33,1
5,5,5,1,3,5,3,5,3,3,2,23,2
3,5,3,3,1,2,2,2,3,1,2,33,1
3,5,5,2,2,2,4,5,5,4,1,42,1
3,5,1,4,1,2,1,2,4,4,2,25,1
1,5,4,3,2,2,2,1,3,2,1,45,1
2,5,3,3,2,3,3,2,3,3,1,33,1
3,5,2,3,4,3,2,3,4,3,2,32,1
5,5,2,4,4,2,4,4,4,2,1,29,1
1,5,1,2,1,1,4,1,2,4,2,34,1
1,5,4,2,1,1,1,3,3,1,2,27,1
4,5,5,2,2,3,1,3,5,2,1,28,1
2,5,4,4,4,3,3,3,4,4,1,36,1
2,5,3,2,1,2,3,2,2,2,1,28,1
2,4,3,4,4,3,2,2,4,3,1,29,1
2,3,2,4,4,2,2,2,3,2,2,23,1
5,4,3,2,2,3,4,3,3,3,2,22,2
2,4,2,5,2,2,4,1,3,1,1,38,1
5,3,3,1,2,3,2,2,4,2,1,53,1
3,4,1,2,1,3,4,1,2,1,2,35,1
5,5,3,4,4,3,3,3,3,3,2,44,1
5,3,3,4,3,3,5,3,3,2,2,24,2
3,5,2,2,4,5,5,5,3,2,2,25,1
3,4,2,2,2,2,4,5,3,4,2,24,1
2,5,1,4,4,2,5,1,4,1,2,24,1
2,5,3,1,2,2,3,1,5,1,1,21,1
3,4,5,3,2,2,3,2,4,3,1,41,1
4,3,3,2,2,4,4,2,4,3,2,27,1
4,5,5,2,4,3,5,5,2,2,1,36,1
2,4,4,2,1,2,3,2,3,2,1,20,1
4,2,2,5,1,4,4,1,3,1,2,22,1
3,4,3,1,4,2,2,1,2,1,2,33,1
3,1,3,1,5,5,5,5,3,5,2,28,1
1,1,1,4,1,2,3,1,5,1,1,31,1
2,5,3,2,5,2,5,5,3,5,1,25,1
3,4,1,5,2,5,4,1,3,2,2,32,1
2,4,2,3,3,5,3,1,2,2,1,29,1
5,5,2,4,5,5,5,5,1,3,1,29,1
5,3,3,3,3,3,3,5,3,3,2,40,1
2,2,3,5,1,1,1,1,3,1,2,46,1
1,5,3,4,2,3,4,3,5,1,2,48,1
2,5,5,5,3,1,2,1,2,1,1,33,1
2,5,2,4,1,3,2,2,3,2,1,57,1
4,4,4,2,1,3,4,3,3,5,2,52,1
5,3,3,1,4,3,2,1,3,1,1,30,2
5,5,5,4,2,5,4,5,5,3,2,22,2
2,5,4,4,2,2,2,2,2,1,2,33,1
5,5,3,3,3,5,3,3,3,3,2,23,2
1,5,4,1,2,1,2,1,4,2,2,37,1
1,5,4,3,2,2,4,1,3,1,1,32,1
2,5,2,4,2,4,2,1,3,1,1,38,1
2,2,3,3,2,3,3,4,3,2,1,27,1
1,4,1,4,2,2,2,1,3,1,1,27,1
3,5,5,2,3,4,4,5,2,3,1,31,1
3,4,2,1,2,4,3,2,3,3,2,33,1
1,5,2,5,1,1,1,1,2,1,1,27,1
1,4,2,1,2,3,2,2,4,3,2,22,1
5,5,3,3,2,5,4,2,3,3,1,32,1
5,5,3,3,3,3,3,3,3,3,2,33,1
1,2,5,4,2,1,2,1,1,2,2,24,1
4,5,3,2,1,5,4,1,3,2,2,36,1
1,5,4,1,3,2,1,1,5,4,1,43,1
4,4,3,4,5,4,2,1,4,2,2,48,1
3,5,4,2,2,4,4,3,3,3,2,27,1
4,3,2,1,3,3,5,1,2,4,2,30,1
3,5,2,2,2,5,4,1,3,1,1,34,1
1,5,3,3,2,1,1,2,4,1,1,23,1
3,5,3,4,2,5,3,4,4,3,1,50,1
5,5,3,5,5,3,5,1,3,2,1,24,1
2,5,2,3,1,1,2,2,5,3,2,49,1
1,5,5,3,2,1,1,1,3,2,1,42,1
3,5,4,2,2,3,3,1,3,2,1,36,1
1,5,5,1,1,1,1,1,2,1,2,32,1
2,5,5,3,2,2,3,2,5,3,1,42,1
